Year,Mean BMI
1975,24.468581
1976,24.55459253
1977,24.6392031
1978,24.72275357
1979,24.80569311
1980,24.88808079
1981,24.96835836
1982,25.04661065
1983,25.12304
1984,25.19785914
1985,25.27208376
1986,25.34438963
1987,25.41564424
1988,25.48671148
1989,25.55818676
1990,25.62961036
1991,25.70218896
1992,25.77549302
1993,25.85038886
1994,25.92716076
1995,26.00527164
1996,26.08532417
1997,26.16704114
1998,26.25070745
1999,26.33601236
2000,26.42286222
2001,26.51026079
2002,26.59929587
2003,26.68995462
2004,26.78231039
2005,26.87642764
2006,26.97199935
2007,27.06909837
2008,27.16795814
2009,27.26768325
2010,27.36891517
2011,27.47158437
2012,27.57494936
2013,27.67873852
2014,27.78297785
2015,27.8873564
2016,27.99180302
